Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
ALO,14,Aston Martin,7.0,0 days 00:01:17.505000,1.0,HARD,8.0,0 days 01:10:02.150000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
OCO,31,Alpine,7.0,0 days 00:01:18.782000,1.0,MEDIUM,7.0,0 days 01:10:06.927000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
SAI,55,Ferrari,7.0,0 days 00:01:18.697000,1.0,HARD,7.0,0 days 01:10:08.107000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
HAM,44,Mercedes,7.0,0 days 00:01:18.651000,1.0,MEDIUM,7.0,0 days 01:10:09.464000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
LEC,16,Ferrari,7.0,0 days 00:01:18.645000,1.0,HARD,7.0,0 days 01:10:10.009000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
GAS,10,Alpine,7.0,0 days 00:01:18.604000,1.0,HARD,7.0,0 days 01:10:11.128000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
RUS,63,Mercedes,7.0,0 days 00:01:18.583000,1.0,HARD,7.0,0 days 01:10:12.845000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
TSU,22,AlphaTauri,7.0,0 days 00:01:18.712000,1.0,MEDIUM,7.0,0 days 01:10:14.141000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
NOR,4,McLaren,7.0,0 days 00:01:18.652000,1.0,MEDIUM,7.0,0 days 01:10:15.993000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
PIA,81,McLaren,7.0,0 days 00:01:18.869000,1.0,HARD,7.0,0 days 01:10:17.965000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
DEV,21,AlphaTauri,7.0,0 days 00:01:19.038000,1.0,MEDIUM,7.0,0 days 01:10:18.380000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
ALB,23,Williams,7.0,0 days 00:01:19.055000,1.0,MEDIUM,7.0,0 days 01:10:18.901000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
BOT,77,Alfa Romeo,7.0,0 days 00:01:19.167000,1.0,HARD,7.0,0 days 01:10:19.802000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
SAR,2,Williams,7.0,0 days 00:01:19.239000,1.0,MEDIUM,7.0,0 days 01:10:20.535000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
MAG,20,Haas F1 Team,7.0,0 days 00:01:19.512000,1.0,HARD,7.0,0 days 01:10:21.709000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
STR,18,Aston Martin,7.0,0 days 00:01:19.417000,1.0,HARD,8.0,0 days 01:10:22.897000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
PER,11,Red Bull Racing,7.0,0 days 00:01:17.399000,2.0,HARD,6.0,0 days 01:10:26.740000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
ZHO,24,Alfa Romeo,7.0,0 days 00:01:17.408000,2.0,HARD,6.0,0 days 01:10:30.819000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
HUL,27,Haas F1 Team,7.0,0 days 00:01:17.333000,2.0,HARD,6.0,0 days 01:10:32.128000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50
VER,1,Red Bull Racing,8.0,0 days 00:01:17.397000,1.0,MEDIUM,8.0,0 days 01:11:17.297000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359
