Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,source_file,LapTimeSeconds
TSU,22,AlphaTauri,7.0,0 days 00:01:18.712000,1.0,MEDIUM,7.0,0 days 01:10:14.141000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,78.712
NOR,4,McLaren,7.0,0 days 00:01:18.652000,1.0,MEDIUM,7.0,0 days 01:10:15.993000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,78.652
PIA,81,McLaren,7.0,0 days 00:01:18.869000,1.0,HARD,7.0,0 days 01:10:17.965000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,78.869
DEV,21,AlphaTauri,7.0,0 days 00:01:19.038000,1.0,MEDIUM,7.0,0 days 01:10:18.380000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.038
ALB,23,Williams,7.0,0 days 00:01:19.055000,1.0,MEDIUM,7.0,0 days 01:10:18.901000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.055
BOT,77,Alfa Romeo,7.0,0 days 00:01:19.167000,1.0,HARD,7.0,0 days 01:10:19.802000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.167
SAR,2,Williams,7.0,0 days 00:01:19.239000,1.0,MEDIUM,7.0,0 days 01:10:20.535000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.239
MAG,20,Haas F1 Team,7.0,0 days 00:01:19.512000,1.0,HARD,7.0,0 days 01:10:21.709000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.512
STR,18,Aston Martin,7.0,0 days 00:01:19.417000,1.0,HARD,8.0,0 days 01:10:22.897000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,79.417
PER,11,Red Bull,7.0,0 days 00:01:17.399000,2.0,HARD,6.0,0 days 01:10:26.740000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,77.399
ZHO,24,Alfa Romeo,7.0,0 days 00:01:17.408000,2.0,HARD,6.0,0 days 01:10:30.819000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,77.408
HUL,27,Haas F1 Team,7.0,0 days 00:01:17.333000,2.0,HARD,6.0,0 days 01:10:32.128000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,77.333
VER,1,Red Bull,8.0,0 days 00:01:17.397000,1.0,MEDIUM,8.0,0 days 01:11:17.297000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,77.397
ALO,14,Aston Martin,8.0,0 days 00:01:17.391000,1.0,HARD,9.0,0 days 01:11:19.655000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,77.391
OCO,31,Alpine,8.0,0 days 00:01:18.533000,1.0,MEDIUM,8.0,0 days 01:11:25.709000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.533
SAI,55,Ferrari,8.0,0 days 00:01:18.637000,1.0,HARD,8.0,0 days 01:11:26.804000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.637
HAM,44,Mercedes,8.0,0 days 00:01:19.051000,1.0,MEDIUM,8.0,0 days 01:11:28.115000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,79.051
LEC,16,Ferrari,8.0,0 days 00:01:19.165000,1.0,HARD,8.0,0 days 01:11:28.654000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,79.165
GAS,10,Alpine,8.0,0 days 00:01:19.317000,1.0,HARD,8.0,0 days 01:11:29.732000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,79.317
RUS,63,Mercedes,8.0,0 days 00:01:18.990000,1.0,HARD,8.0,0 days 01:11:31.428000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.99
TSU,22,AlphaTauri,8.0,0 days 00:01:18.951000,1.0,MEDIUM,8.0,0 days 01:11:32.853000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.951
NOR,4,McLaren,8.0,0 days 00:01:18.651000,1.0,MEDIUM,8.0,0 days 01:11:34.645000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.651
PIA,81,McLaren,8.0,0 days 00:01:18.828000,1.0,HARD,8.0,0 days 01:11:36.834000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.828
DEV,21,AlphaTauri,8.0,0 days 00:01:18.743000,1.0,MEDIUM,8.0,0 days 01:11:37.418000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.743
ALB,23,Williams,8.0,0 days 00:01:18.796000,1.0,MEDIUM,8.0,0 days 01:11:37.956000,1,True,25.4,40.9,44.0,1013.5,False,0.8,359,laps_2023_monaco_R.csv,78.796
